objectid,filename,title,creator,location,dimensions,creationdate,subject,description,cameratype,format,filedate,rights,filesize
polaroid01,polaroid01.jpeg,polaroid01.jpeg,"Schultz, Brenna","Dubuque, Iowa",2.623 x 2.122 in,2017-12-31,new years eve,selfie of brenna,Polaroid Insta Max Mini,image/jpeg,2025-04-14,"Schultz, Brenna",182.9 kb
polaroid02,polaroid02.jpeg,polaroid02.jpeg,"Schultz, Brenna","Indianapolis, Indiana",2.623 x 2.122 in,2018-10-20,concert,photo of brenna making |-/ sign with her hands,Polaroid Insta Max Mini,image/jpeg,2025-04-14,"Schultz, Brenna",179.6 kb
polaroid03,polaroid03.jpeg,polaroid03.jpeg,"Schultz, Brenna","Dubuque, Iowa",2.623 x 2.122 in,2019-04-21,easter,selfie of brenna,Polaroid Insta Max Mini,image/jpeg,2025-04-14,"Schultz, Brenna",189.7 kb
polaroid04,polaroid04.jpeg,polaroid04.jpeg,"Schultz, Brenna","Dubuque, Iowa",2.623 x 2.122 in,2019-12-25,christmas,photo of brenna with pet dog 'baby',Polaroid Insta Max Mini,image/jpeg,2025-04-14,"Schultz, Brenna",185.2 kb
polaroid05,polaroid05.jpeg,polaroid05.jpeg,"Schultz, Brenna","Dubuque, Iowa",2.623 x 2.122 in,2019-07-17,summer,selfie of brenna,Polaroid Insta Max Mini,image/jpeg,2025-04-14,"Schultz, Brenna",182.1 kb
polaroid06,polaroid06.jpeg,polaroid06.jpeg,"Schultz, Brenna","Dubuque, Iowa",2.623 x 2.122 in,2020-07-07,skateboarding,photo of brenna in a skate park with skateboard,Polaroid Insta Max Mini,image/jpeg,2025-04-14,"Schultz, Brenna",176.1 kb
polaroid07,polaroid07.jpeg,polaroid07.jpeg,"Schultz, Brenna","Gays Mills, Wisconsin",2.623 x 2.122 in,2020-09-27,fall orchard,photo of brenna near sunflower field,Polaroid Insta Max Mini,image/jpeg,2025-04-14,"Schultz, Brenna",164.5 kb
polaroid08,polaroid08.jpeg,polaroid08.jpeg,"Schultz, Brenna","Dubuque, Iowa",2.623 x 2.122 in,2021-01-20,selfie,selfie of brenna,Polaroid Insta Max Mini,image/jpeg,2025-04-14,"Schultz, Brenna",162.6 kb
polaroid09,polaroid09.jpeg,polaroid09.jpeg,"Schultz, Brenna","Dubuque, Iowa",2.623 x 2.122 in,2021-05-01,graduation,photo of brenna with diploma,Polaroid Insta Max Mini,image/jpeg,2025-04-14,"Schultz, Brenna",185.7 kb
polaroid10,polaroid10.jpeg,polaroid10.jpeg,"Schultz, Brenna","Finleys Landing, Iowa",2.623 x 2.122 in,2021-04-27,beach,selfie of brenna,Polaroid Insta Max Mini,image/jpeg,2025-04-14,"Schultz, Brenna",168.6 kb
polaroid11,polaroid11.jpeg,polaroid11.jpeg,"Schultz, Brenna","Iowa City, Iowa",2.623 x 2.122 in,2023-05-24,night out,photo of brenna,Polaroid Insta Max Mini,image/jpeg,2025-04-14,"Schultz, Brenna",184.7 kb
polaroid12,polaroid12.jpeg,polaroid12.jpeg,"Schultz, Brenna","Iowa City, Iowa",2.623 x 2.122 in,2023-06-17,pride,photo of brenna,Polaroid Insta Max Mini,image/jpeg,2025-04-14,"Schultz, Brenna",198.5 kb
polaroid13,polaroid13.jpeg,polaroid13.jpeg,"Schultz, Brenna","Coralville, Iowa",2.623 x 2.122 in,2024-06-11,beach,photo of brenna,Polaroid Insta Max Mini,image/jpeg,2025-04-14,"Schultz, Brenna",180 kb
polaroid14,polaroid14.jpeg,polaroid14.jpeg,"Schultz, Brenna","Iowa City, Iowa",2.623 x 2.122 in,2024-09-14,birthday,photo of brenna kissing herky plushie,Polaroid Insta Max Mini,image/jpeg,2025-04-14,"Schultz, Brenna",191 kb
polaroid15,polaroid15.jpeg,polaroid15.jpeg,"Schultz, Brenna","Iowa City, Iowa",2.623 x 2.122 in,2025-03-17,st patricks day,photo of brenna,Polaroid Insta Max Mini,image/jpeg,2025-04-14,"Schultz, Brenna",185.6 kb